GC USED TOTAL DIFF
CSM-4: 15392 184320 168928
CSM-8: 15632 184320 168688
G1-4-16: 56392 184320 127928
G1-4-1: 6392 80000 73608
G1-4-32: 156392 184320 27928
G1-4-8: 156392 184320 27928
G1-8-16: 156392 184320 27928
G1-8-1: 156392 184320 27928
G1-8-32: 156392 184320 27928
G1-8-8: 156392 184320 27928
Parallel-4: 156392 184320 27928
Parallel-8: 156392 184320 27928
Serial: 156392 184320 27928
